"name","country.etc","pop","lat","long","capital"
"'Abasan al-Jadidah","Palestine",5629,31.31,34.34,0
"'Abasan al-Kabirah","Palestine",18999,31.32,34.35,0
"'Abud","Palestine",2456,32.03,35.07,0
"'Abwein","Palestine",3434,32.03,35.2,0
"'Ajjah","Palestine",5143,32.37,35.2,0
"'Anabta","Palestine",7311,32.31,35.12,0
"'Anata","Palestine",9149,31.81,35.28,0
"'Anin","Palestine",3717,32.5,35.17,0
"'Anzah","Palestine",2006,32.37,35.22,0
"'Aqbah Jabbar","Palestine",6337,31.83,35.45,0
"'Aqqaba","Palestine",6064,32.35,35.35,0
"'Aqraba","Palestine",7925,32.15,35.38,0
"'Arrabah","Palestine",9983,32.43,35.21,0
"'Arranah","Palestine",2144,32.5,35.32,0
"'Arurah","Palestine",2966,32.04,35.17,0
"'Asirah al-Qibliyah","Palestine",2284,32.18,35.21,0
"'Asirah as-Samaliyah","Palestine",7754,32.25,35.27,0
"'Askar","Palestine",12694,32.22,35.28,0
"'Atarah","Palestine",2347,32,35.21,0
"'Attil","Palestine",10389,32.37,35.07,0
"'Awarta","Palestine",5808,32.17,35.28,0
"'Aydah","Palestine",3258,31.73,35.2,0
"'Ayn Yabrud","Palestine",3554,31.95,35.25,0
"'Aynabus","Palestine",2219,32.15,35.25,0
"'Azmut","Palestine",2722,32.21,35.32,0
"'Azzun","Palestine",8255,32.17,35.06,0
"'Illar","Palestine",6874,32.37,35.11,0
"'Izbat Bayt Hanun","Palestine",7374,31.55,35.07,0
"'Urif","Palestine",2837,32.16,35.22,0
"Abu Dis","Palestine",11515,31.76,35.27,0
"Ariha","Palestine",20244,31.85,35.43,0
"Artas","Palestine",3663,31.68,35.18,0
"Bal'a","Palestine",7287,32.33,35.11,0
"Balatah","Palestine",17624,32.21,35.28,0
"Bani Na'im","Palestine",18844,31.52,35.17,0
"Bani Suhayla","Palestine",32685,31.34,34.32,0
"Baqah as-Sarqiyah","Palestine",4289,32.41,35.07,0
"Barta'ah as-Sarqiyah","Palestine",3601,31.47,35.09,0
"Battir","Palestine",4219,31.73,35.13,0
"Bayt 'Awwa","Palestine",8330,31.51,34.96,0
"Bayt 'Ur at-Tahta","Palestine",4412,31.9,35.08,0
"Bayt Dajan","Palestine",3586,32.19,35.37,0
"Bayt Fajjar","Palestine",10902,31.62,35.15,0
"Bayt Furik","Palestine",10393,32.18,35.33,0
"Bayt Hanun","Palestine",32108,31.55,35.05,0
"Bayt Iba","Palestine",3265,32.24,35.21,0
"Bayt Imrin","Palestine",2873,32.29,35.22,0
"Bayt Jala","Palestine",16675,31.72,35.19,0
"Bayt Kahil","Palestine",5847,31.57,35.07,0
"Bayt Lahiya","Palestine",59299,31.56,34.5,0
"Bayt Lahm","Palestine",29865,31.71,35.21,0
"Bayt Lid","Palestine",5906,32.26,35.13,0
"Bayt Liqya","Palestine",8064,31.87,35.07,0
"Bayt Sahur","Palestine",15372,31.69,35.23,0
"Bayt Sira","Palestine",2839,31.88,35.05,0
"Bayt Surik","Palestine",3632,31.83,35.15,0
"Bayt Ula","Palestine",9457,31.6,35.04,0
"Bayt Ummar","Palestine",12635,31.62,35.1,0
"Bayta","Palestine",8776,32.13,35.28,0
"Baytillu","Palestine",3082,31.98,35.12,0
"Baytuniya","Palestine",13262,31.88,35.17,0
"Biddu","Palestine",6057,31.84,35.15,0
"Biddya","Palestine",8313,32.11,35.08,0
"Bir Nabala","Palestine",5793,31.85,35.2,0
"Bir Zayt","Palestine",6620,31.97,35.2,0
"Birqin","Palestine",5896,32.45,35.26,0
"Bitin","Palestine",3051,31.93,35.23,0
"Bizzariya","Palestine",2151,32.31,35.17,0
"Bruqin","Palestine",3650,32.07,35.1,0
"Burin","Palestine",2571,32.18,35.25,0
"Burqah","Palestine",2317,31.9,35.25,0
"Burqah","Palestine",4027,32.3,35.19,0
"Dayr 'Ammar","Palestine",2413,31.97,35.1,0
"Dayr Abu Da'if","Palestine",5289,32.45,35.37,0
"Dayr Abu Mas'al","Palestine",3438,32,35.06,0
"Dayr Ballut","Palestine",3679,32.06,35.02,0
"Dayr Dibwan","Palestine",6924,31.92,35.27,0
"Dayr Istiya","Palestine",3849,32.13,35.14,0
"Dayr Jarir","Palestine",4301,31.97,35.3,0
"Dayr Samit","Palestine",5718,31.53,34.99,0
"Dayr al-Balah","Palestine",61442,31.42,34.35,0
"Dayr al-Gusun","Palestine",9451,32.35,35.07,0
"Dayr al-Hatab","Palestine",2257,32.22,35.32,0
"Dayr as-Saraf","Palestine",2757,32.25,35.19,0
"Dayr as-Sudan","Palestine",2177,32.03,35.15,0
"Dinnabah","Palestine",8429,32.31,35.04,0
"Duma","Palestine",2219,32.05,35.37,0
"Dura","Palestine",21505,31.52,35.04,0
"Dura al-Qar'","Palestine",2738,31.95,35.21,0
"Fahmah","Palestine",2438,32.38,35.18,0
"Faqqu'ah","Palestine",3489,32.49,35.4,0
"Far'un","Palestine",3189,32.29,35.02,0
"Gazzah","Palestine",452471,31.53,34.44,0
"Hablah","Palestine",6148,32.16,34.98,0
"Hajjah","Palestine",2529,32.2,35.13,0
"Halhul","Palestine",21755,31.6,35.11,0
"Han Yunis","Palestine",176518,31.35,34.29,0
"Haras","Palestine",7109,31.62,35.03,0
"Harbata al-Misbah","Palestine",5243,31.95,35.07,0
"Haris","Palestine",3062,32.11,35.14,0
"Hebron","Palestine",164914,31.54,35.09,0
"Hirbat Abu Falah","Palestine",4099,32.02,35.3,0
"Hizma","Palestine",5798,31.83,35.27,0
"Husan","Palestine",5706,31.72,35.13,0
"Huwwara","Palestine",5793,32.15,35.26,0
"Huza'ah","Palestine",9649,31.29,34.35,0
"Idna","Palestine",18787,31.57,34.98,0
"Iktaba","Palestine",1975,32.33,35.06,0
"Immatin","Palestine",2451,32.19,35.16,0
"Jaba'","Palestine",3081,31.85,35.27,0
"Jaba'","Palestine",8696,32.32,35.22,0
"Jabaliya","Palestine",173225,31.53,34.49,0
"Jalbun","Palestine",2492,32.46,35.41,0
"Jamma'in","Palestine",5777,32.13,35.2,0
"Janin","Palestine",35682,32.47,35.3,0
"Jayyus","Palestine",3306,32.2,35.04,0
"Jinsafut","Palestine",2280,32.18,35.14,0
"Jit","Palestine",2321,32.22,35.17,0
"Kafr 'Aqab","Palestine",9899,31.88,35.23,0
"Kafr Dan","Palestine",5111,32.48,35.25,0
"Kafr Jammal","Palestine",2553,32.23,35.04,0
"Kafr Malik","Palestine",3004,31.98,35.32,0
"Kafr Ni'mah","Palestine",3871,31.93,35.1,0
"Kafr Qaddum","Palestine",3493,32.22,35.14,0
"Kafr Qallil","Palestine",2490,32.2,35.28,0
"Kafr Ra'i","Palestine",7814,32.37,35.16,0
"Kafr Tult","Palestine",4364,32.15,35.04,0
"Kafr ad-Dik","Palestine",5143,32.06,35.08,0
"Kafr al-Labad","Palestine",4029,32.3,35.11,0
"Kawbar","Palestine",3669,31.98,35.17,0
"Kifl Haris","Palestine",3231,32.12,35.15,0
"Kufayrit","Palestine",2446,32.44,35.2,0
"Majdal Bani Fadil","Palestine",2183,32.08,35.36,0
"Mardah","Palestine",2210,32.11,35.19,0
"Maytalun","Palestine",7001,32.35,35.27,0
"Mazari' an-Nubari","Palestine",2509,32.05,35.17,0
"Misliyah","Palestine",2251,32.38,35.28,0
"Muhayyam Dayr 'Ammar","Palestine",2228,31.96,35.11,0
